X-position, Y-position, theta, phi, mua, mus, mua, mus, mua, mus, mua, mus, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT
793.21, 324.46, 0.5110, 0.0250, 0.0160, 0.6134, 0.0160, 0.5698, 0.0135, 0.5611, 0.0123, 0.5524, 0.0157, 0.6301, 0.0108, 0.4243, 0.0126, 0.6043, 0.0111, 0.6043
754.10, 324.42, 0.7280, 0.0170, 0.0169, 0.6004, 0.0171, 0.5563, 0.0142, 0.5596, 0.0128, 0.5535, 0.0184, 0.5534, 0.0156, 0.5913, 0.0104, 0.5280, 0.0113, 0.6009
735.75, 293.68, -1.4310, 0.0150, 0.0153, 0.6370, 0.0153, 0.5939, 0.0128, 0.5858, 0.0117, 0.5767, 0.0163, 0.6120, 0.0190, 0.4137, 0.0125, 0.6022, 0.0107, 0.5671
807.04, 412.46, 1.3910, 0.0930, 0.0205, 0.5519, 0.0201, 0.5228, 0.0174, 0.5061, 0.0154, 0.5160, 0.0258, 0.3961, 0.0183, 0.5827, 0.0163, 0.4402, 0.0092, 0.1719
794.81, 410.74, 1.3100, 0.0850, 0.0224, 0.5490, 0.0220, 0.5265, 0.0188, 0.5129, 0.0168, 0.5157, 0.0225, 0.5492, 0.0264, 0.3966, 0.0161, 0.4526, 0.0173, 0.5131
766.91, 401.07, 1.3600, 0.0740, 0.0231, 0.5401, 0.0223, 0.5302, 0.0196, 0.4959, 0.0175, 0.5027, 0.0227, 0.5315, 0.0222, 0.5405, 0.0176, 0.5651, 0.0195, 0.4297
767.87, 401.12, 1.4460, 0.0700, 0.0230, 0.5418, 0.0223, 0.5286, 0.0195, 0.4983, 0.0174, 0.5058, 0.0238, 0.4515, 0.0213, 0.5619, 0.0140, 0.6845, 0.0148, 0.6019
739.33, 465.93, 1.6240, 0.0790, 0.0189, 0.5656, 0.0185, 0.5352, 0.0161, 0.5136, 0.0144, 0.5199, 0.0235, 0.4070, 0.0177, 0.5593, 0.0164, 0.5035, 0.0152, 0.3814
741.77, 475.23, 1.4370, 0.0930, 0.0182, 0.5708, 0.0181, 0.5280, 0.0158, 0.5017, 0.0143, 0.5050, 0.0140, 0.6174, 0.0146, 0.6461, 0.0129, 0.4321, 0.0132, 0.5431
764.63, 477.13, 1.3890, 0.1000, 0.0183, 0.5764, 0.0179, 0.5510, 0.0152, 0.5345, 0.0143, 0.5410, 0.0170, 0.6186, 0.0161, 0.6188, 0.0170, 0.4766, 0.0149, 0.5259
